13
0.9  -0.01 0.02 -0.03 0.04 0.05 0.06 -0.07 0.08 0.09 0.01 0.01 0.02 0
-0.02 0.8  0.03 0.04 -0.05 0.06 0.07 0.08 -0.09 0.01 0.02 0.01 0.02 1
0.03 -0.04 0.8  -0.05 0.06 0.07 0.08 -0.09 0.01 0.02 0.03 0.01 0.02 2
-0.04 0.05 0.06 0.7  -0.07 0.08 0.09 0.01 -0.02 0.03 0.04 0.01 0.02 3
0.05 -0.06 0.07 -0.08 0.7  0.09 0.01 -0.02 0.03 0.04 0.05 0.01 0.02 4
-0.03 0.03 0.04 0.04 -0.04 0.7  0.04 0.01 -0.02 0.02 0.06 0.01 0.02 5
0.03 -0.03 0.03 -0.04 0.04 0.04 0.6  -0.04 0.01 0.02 0.07 0.01 0.02 6
-0.02 0.03 0.03 0.03 -0.04 0.04 0.04 0.6  -0.04 0.01 0.08 0.01 0.02 7
0.02 -0.02 0.03 -0.03 0.03 0.04 0.04 -0.04 0.6  0.04 0.02 0.01 0.02 8
-0.01 0.02 0.02 0.03 -0.03 0.03 0.04 0.04 -0.04 0.6  0.01 0.01 0.02 9
0.04 -0.01 0.02 -0.02 0.03 0.03 0.03 -0.04 0.04 0.04 0.5  0.01 0.02 1
-0.01 0.02 0.02 0.03 -0.03 0.03 0.04 0.04 -0.04 0.01 0.01 0.5  0.02 6
0.04 -0.01 0.02 -0.02 0.03 0.03 0.03 -0.04 0.04 0.04 0.01 0.02 0.5  2
